"","Date","Temperature","Tank","Fragment","YII"
"89","2017-09-27","29",3,"32",0.544
"90","2017-09-27","29",3,"33",0.56
"91","2017-09-27","29",3,"39",0.568
"92","2017-09-27","29",3,"48",0.542
"93","2017-09-27","29",3,"52",0.59
"94","2017-09-27","29",3,"53",0.551
"95","2017-09-27","29",3,"54",0.604
"96","2017-09-27","29",3,"70",0.593
"97","2017-09-27","29",3,"75",0.564
"98","2017-09-27","29",3,"80",0.573
"99","2017-09-27","29",3,"81",0.527
"100","2017-09-27","29",3,"89",0.505
"101","2017-09-27","29",3,"93",0.547
"102","2017-09-27","29",3,"95",0.552
"103","2017-09-27","29",3,"212",0.525
"104","2017-09-27","29",3,"213",0.579
"105","2017-09-27","29",3,"295",0.513
"106","2017-09-27","26",1,"9",0.59
"107","2017-09-27","26",1,"13",0.543
"108","2017-09-27","26",1,"16",0.581
"109","2017-09-27","26",1,"17",0.559
"110","2017-09-27","26",1,"36",0.47
"111","2017-09-27","26",1,"42",0.575
"112","2017-09-27","26",1,"44",0.579
"113","2017-09-27","26",1,"50",0.506
"114","2017-09-27","26",1,"51",0.501
"115","2017-09-27","26",1,"55",0.542
"116","2017-09-27","26",1,"56",0.457
"117","2017-09-27","26",1,"61",0.451
"118","2017-09-27","26",1,"64",0.519
"119","2017-09-27","26",1,"67",0.548
"120","2017-09-27","26",1,"76",0.522
"121","2017-09-27","26",1,"77",0.493
"122","2017-09-27","26",1,"94",0.527
"123","2017-09-27","26",1,"127",0.599
"124","2017-09-27","26",1,"201",0.533
"125","2017-09-27","26",1,"202",0.556
"126","2017-09-27","26",1,"298",0.575
"127","2017-09-27","27",2,"11",0.609
"128","2017-09-27","27",2,"12",0.6
"129","2017-09-27","27",2,"28",0.546
"130","2017-09-27","27",2,"29",0.544
"131","2017-09-27","27",2,"30",0.556
"132","2017-09-27","27",2,"40",0.55
"133","2017-09-27","27",2,"57",0.504
"134","2017-09-27","27",2,"58",0.548
"135","2017-09-27","27",2,"59",0.542
"136","2017-09-27","27",2,"60",0.608
"137","2017-09-27","27",2,"73",0.563
"138","2017-09-27","27",2,"78",0.548
"139","2017-09-27","27",2,"79",0.594
"140","2017-09-27","27",2,"82",0.532
"141","2017-09-27","27",2,"83",0.608
"142","2017-09-27","27",2,"84",0.624
"143","2017-09-27","27",2,"88",0.583
"144","2017-09-27","27",2,"90",0.535
"145","2017-09-27","27",2,"92",0.591
"146","2017-09-27","27",2,"96",0.603
"147","2017-09-27","27",2,"205",0.513
"148","2017-09-27","27",2,"207",0.569
"149","2017-09-27","27",2,"297",0.597
"150","2017-09-27","28",4,"8b",0.569
"151","2017-09-27","28",4,"15b",0.509
