Treatment,Tank,Fragment,Picture,Time ,date,F0,Fm,YII
28,1,112,,7,2017-06-07,0.1275,0.2642,0.518
28,1,71,,7,2017-06-07,0.1642,0.3603,0.544
28,1,137,,7,2017-06-07,0.1775,0.3833,0.537
28,1,85,,7,2017-06-07,0.1706,0.3642,0.532
28,1,34,,7,2017-06-07,0.2132,0.4309,0.505
28,1,49,,7,2017-06-07,0.1461,0.35,0.583
28,1,18,,7,2017-06-07,0.1863,0.4127,0.549
28,1,135,,7,2017-06-07,0.1833,0.3819,0.52
28,1,133,,7,2017-06-07,0.1975,0.4211,0.531
28,1,130,,7,2017-06-07,0.174,0.3216,0.459
28,1,8,,7,2017-06-07,0.1676,0.4069,0.588
28,1,126,,7,2017-06-07,0.1858,0.35,0.469
28,1,15,,7,2017-06-07,0.1828,0.3946,0.537
28,1,134,,7,2017-06-07,0.1495,0.2887,0.482
28,1,111,,7,2017-06-07,0.1848,0.4118,0.551
28,1,43,,7,2017-06-07,0.1828,0.373,0.51
28,1,37,,7,2017-06-07,0.1897,0.4054,0.532
28,1,114,,7,2017-06-07,0.1902,0.4304,0.558
28,1,124,,7,2017-06-07,0.1922,0.4196,0.542
28,1,27,,7,2017-06-07,0.1951,0.4181,0.533
28,1,91,,7,2017-06-07,0.1431,0.3387,0.577
28,1,46,,7,2017-06-07,0.1926,0.4167,0.538
28,1,19,,7,2017-06-07,0.1853,0.4,0.537
28,1,129,,7,2017-06-07,0.1588,0.3485,0.544
28,1,68,,7,2017-06-07,0.1887,0.349,0.459
28,1,187,,7,2017-06-07,0.1868,0.3799,0.508
28,1,196,,7,2017-06-07,0.1451,0.3353,0.567
29,2,87,,7,2017-06-07,0.1485,0.3074,0.517
29,2,54,,7,2017-06-07,0.1686,0.3789,0.555
29,2,23,,7,2017-06-07,0.1858,0.3951,0.53
29,2,38,,7,2017-06-07,0.1966,0.3838,0.488
29,2,53,,7,2017-06-07,0.1598,0.3745,0.573
29,2,10,,7,2017-06-07,0.1348,0.3039,0.556
29,2,33,,7,2017-06-07,0.1833,0.3971,0.538
29,2,39,,7,2017-06-07,0.148,0.3309,0.553
29,2,14,,7,2017-06-07,0.1672,0.3225,0.482
29,2,4,,7,2017-06-07,0.1534,0.3466,0.557
29,2,48,,7,2017-06-07,0.1936,0.3995,0.515
29,2,52,,7,2017-06-07,0.2029,0.4922,0.588
29,2,70,,7,2017-06-07,0.1745,0.4029,0.567
29,2,6,,7,2017-06-07,0.176,0.3873,0.546
29,2,45,,7,2017-06-07,0.1951,0.4127,0.527
29,2,95,,7,2017-06-07,0.1716,0.3725,0.539
29,2,75,,7,2017-06-07,0.1838,0.3255,0.435
29,2,89,,7,2017-06-07,0.2029,0.4235,0.521
29,2,25,,7,2017-06-07,0.201,0.4304,0.533
29,2,22,,7,2017-06-07,0.1755,0.3701,0.526
29,2,32,,7,2017-06-07,0.2172,0.477,0.545
29,2,2,,7,2017-06-07,0.1358,0.3162,0.571
29,2,5,,7,2017-06-07,0.1314,0.3328,0.605
29,2,93,,7,2017-06-07,0.1618,0.399,0.595
29,2,24,,7,2017-06-07,0.2005,0.4466,0.551
29,2,41,,7,2017-06-07,0.1451,0.3245,0.553
27,3,88,,8,2017-06-14,0.1941,0.4034,0.519
27,3,12,,8,2017-06-14,0.1784,0.3863,0.538
27,3,59,,8,2017-06-14,0.1824,0.3868,0.529
27,3,92,,8,2017-06-14,0.1681,0.3902,0.569
27,3,78,,8,2017-06-14,0.175,0.3735,0.531
27,3,11,,8,2017-06-14,0.1431,0.3701,0.613
27,3,40,,8,2017-06-14,0.1426,0.3358,0.575
27,3,57,,8,2017-06-14,0.1975,0.3819,0.483
27,3,96,,8,2017-06-14,0.1382,0.2941,0.53
27,3,60,,8,2017-06-14,0.1515,0.3167,0.522
27,3,63,,8,2017-06-14,0.152,0.2922,0.48
27,3,79,,8,2017-06-14,0.1525,0.3098,0.508
27,3,83,,8,2017-06-14,0.151,0.3431,0.56
27,3,82,,8,2017-06-14,0.1554,0.3471,0.552
27,3,28,,8,2017-06-14,0.1725,0.3569,0.516
27,3,29,,8,2017-06-14,0.1544,0.3118,0.505
27,3,73,,8,2017-06-14,0.1471,0.2838,0.482
27,3,90,,8,2017-06-14,0.1897,0.35,0.458
27,3,84,,8,2017-06-14,0.1485,0.3167,0.531
27,3,35,,8,2017-06-14,0.1657,0.3446,0.519
27,3,65,,8,2017-06-14,0.1392,0.3578,0.611
27,3,58,,8,2017-06-14,0.1765,0.401,0.56
27,3,62,,8,2017-06-14,0.1799,0.4103,0.562
27,3,31,,8,2017-06-14,0.1995,0.3902,0.489
27,3,30,,8,2017-06-14,0.1975,0.3917,0.496
26,4,94,,8,2017-06-14,0.1784,0.2824,0.368
26,4,1,,8,2017-06-14,0.1681,0.2613,0.356
26,4,16,,8,2017-06-14,0.1603,0.249,0.356
26,4,9,,8,2017-06-14,0.1554,0.2255,0.311
26,4,72,,8,2017-06-14,0.1799,0.2598,0.308
26,4,36,,8,2017-06-14,0.1946,0.3137,0.38
26,4,51,,8,2017-06-14,0.1554,0.2348,0.338
26,4,67,,8,2017-06-14,0.1696,0.2368,0.284
26,4,17,,8,2017-06-14,0.1505,0.2319,0.351
26,4,50,,8,2017-06-14,0.1603,0.2441,0.343
26,4,61,,8,2017-06-14,0.1804,0.2833,0.363
26,4,76,,8,2017-06-14,0.1588,0.2338,0.321
26,4,64,,8,2017-06-14,0.2005,0.2868,0.301
26,4,55,,8,2017-06-14,0.1539,0.2446,0.371
26,4,42,,8,2017-06-14,0.1667,0.2657,0.373
26,4,44,,8,2017-06-14,0.1422,0.2618,0.457
26,4,77,,8,2017-06-14,0.1799,0.2623,0.314
26,4,56,,8,2017-06-14,0.1912,0.2387,0.199
26,4,13,,8,2017-06-14,0.1588,0.2328,0.318
26,4,127,,8,2017-06-14,0.1618,0.2471,0.345
29,2,87,,8,2017-06-14,0.1485,0.3333,0.554
29,2,54,,8,2017-06-14,0.1564,0.3721,0.58
29,2,23,,8,2017-06-14,0.1926,0.4328,0.555
29,2,38,,8,2017-06-14,0.1853,0.374,0.505
29,2,53,,8,2017-06-14,0.151,0.3529,0.572
29,2,10,,8,2017-06-14,0.148,0.3309,0.553
29,2,33,,8,2017-06-14,0.1951,0.4103,0.524
29,2,39,,8,2017-06-14,0.1613,0.3789,0.574
29,2,14,,8,2017-06-14,0.1657,0.3172,0.478
29,2,4,,8,2017-06-14,0.1402,0.3181,0.559
29,2,48,,8,2017-06-14,0.1961,0.3902,0.497
29,2,52,,8,2017-06-14,0.1578,0.348,0.546
29,2,70,,8,2017-06-14,0.1647,0.3735,0.559
29,2,6,,8,2017-06-14,0.1559,0.3613,0.569
29,2,45,,8,2017-06-14,0.1985,0.4245,0.532
29,2,95,,8,2017-06-14,0.1588,0.3721,0.573
29,2,75,,8,2017-06-14,0.1515,0.3304,0.542
29,2,81,,8,2017-06-14,0.2005,0.4225,0.526
29,2,69,,8,2017-06-14,0.175,0.3735,0.531
29,2,80,,8,2017-06-14,0.1721,0.352,0.511
29,2,66,,8,2017-06-14,0.1853,0.3794,0.512
29,2,89,,8,2017-06-14,0.2005,0.4225,0.526
29,2,25,,8,2017-06-14,0.175,0.3735,0.531
29,2,22,,8,2017-06-14,0.1721,0.352,0.511
29,2,32,,8,2017-06-14,0.1853,0.3794,0.512
29,2,2,,8,2017-06-14,0.1397,0.3382,0.587
29,2,5,,8,2017-06-14,0.1304,0.3289,0.604
29,2,93,,8,2017-06-14,0.1515,0.3672,0.587
29,2,24,,8,2017-06-14,0.199,0.4333,0.541
29,2,41,,8,2017-06-14,0.1426,0.3338,0.573
27,3,88,,9,2017-06-21,0.1971,0.4343,0.546
27,3,12,,9,2017-06-21,0.1755,0.3721,0.528
27,3,59,,9,2017-06-21,0.1725,0.3721,0.536
27,3,92,,9,2017-06-21,0.1593,0.3745,0.575
27,3,78,,9,2017-06-21,0.1618,0.3539,0.543
27,3,11,,9,2017-06-21,0.1328,0.3211,0.586
27,3,40,,9,2017-06-21,0.1407,0.3211,0.562
27,3,57,,9,2017-06-21,0.1848,0.3417,0.459
27,3,96,,9,2017-06-21,0.1574,0.3152,0.501
27,3,60,,9,2017-06-21,0.15,0.325,0.538
27,3,63,,9,2017-06-21,0.152,0.3025,0.498
27,3,79,,9,2017-06-21,0.1588,0.3225,0.508
27,3,83,,9,2017-06-21,0.152,0.35,0.566
27,3,82,,9,2017-06-21,0.149,0.3475,0.571
27,3,28,,9,2017-06-21,0.1951,0.373,0.477
27,3,29,,9,2017-06-21,0.1814,0.3505,0.483
27,3,73,,9,2017-06-21,0.1373,0.2917,0.529
